participant_id,group,cost_level,fairness_group,n_trials,choice_mean,AA_valence_mean,AA_arousal_mean,AC_valence_mean,AC_arousal_mean,EmoFDBK_valence_mean,EmoFDBK_arousal_mean
47131,human,low,fair,5,0.0,-10.2,7.2,23.2,26.4,33.4,19.2
47131,human,low,unfair,25,0.24,-10.0,5.52,11.12,15.76,21.12,10.24
50002,human,high,fair,5,0.0,24.4,18.8,36.2,35.8,11.8,17.0
50002,human,high,unfair,25,0.16,-13.72,15.96,20.84,21.92,34.56,5.96
50002,human,low,fair,5,0.0,24.4,10.4,-4.6,50.0,-29.0,39.6
50002,human,low,unfair,25,0.56,-11.96,14.88,25.68,50.76,37.64,35.88
50513,human,high,fair,5,0.0,8.2,16.4,10.0,46.4,1.8,30.0
50513,human,high,unfair,25,0.0,-4.6,-2.16,8.36,44.6,12.96,46.76
50513,human,low,fair,5,0.0,8.2,13.8,9.8,66.8,1.6,53.0
50513,human,low,unfair,25,0.2,-5.52,-2.84,7.76,23.28,13.28,26.12
50613,human,high,fair,5,0.0,22.4,26.6,57.0,16.0,34.6,-10.6
50613,human,high,unfair,25,0.08,-14.12,15.6,11.8,38.8,25.92,23.2
50613,human,low,fair,5,0.0,19.4,23.6,36.2,22.8,16.8,-0.8
50613,human,low,unfair,25,0.8,-14.28,16.76,15.92,31.68,30.2,14.92
51127,human,high,fair,5,0.0,5.0,-14.8,10.0,1.8,5.0,16.6
51127,human,high,unfair,25,0.0,12.12,13.36,22.16,31.48,10.04,18.12
51127,human,low,fair,5,0.4,5.6,1.0,10.8,17.2,5.2,16.2
51127,human,low,unfair,25,0.44,11.8,8.12,22.16,39.12,10.36,31.0
52737,human,high,fair,5,0.0,17.4,16.8,20.0,22.4,2.6,5.6
52737,human,high,unfair,25,0.16,10.68,7.48,25.36,5.24,14.68,-2.24
52737,human,low,fair,5,0.6,4.8,6.2,31.4,48.2,26.6,42.0
52737,human,low,unfair,25,1.0,-6.92,15.04,16.04,30.2,22.96,15.16
52914,human,high,fair,5,0.0,9.4,-0.4,22.8,49.2,13.4,49.6
52914,human,high,unfair,25,0.28,-0.44,0.0,-0.2,23.24,0.24,23.24
52914,human,low,fair,5,0.0,8.2,0.4,42.2,19.0,34.0,18.6
52914,human,low,unfair,25,0.28,2.48,-0.04,15.56,14.24,13.08,14.28
53015,human,high,fair,5,1.0,2.6,4.0,21.8,8.0,19.2,4.0
53015,human,high,unfair,25,1.0,3.92,7.52,18.84,27.88,14.92,20.36
53015,human,low,fair,5,1.0,10.8,14.2,10.8,20.6,0.0,6.4
53015,human,low,unfair,25,1.0,14.2,11.12,10.72,40.56,-3.48,29.44
55202,human,high,fair,5,0.0,-12.6,-0.2,16.6,25.8,29.2,26.0
55202,human,high,unfair,25,0.0,-11.96,-13.24,-2.56,38.92,9.4,52.16
55202,human,low,fair,5,0.8,-12.8,-0.2,18.4,9.2,31.2,9.4
55202,human,low,unfair,25,0.8,-13.48,-14.88,16.64,24.32,30.12,39.2
56112,human,high,fair,5,0.2,-3.6,-4.2,39.6,14.6,43.2,18.8
56112,human,high,unfair,25,0.52,8.56,2.08,25.2,21.36,16.64,19.28
56112,human,low,fair,5,1.0,-12.2,-11.8,8.6,53.0,20.8,64.8
56112,human,low,unfair,25,0.64,10.8,-3.4,9.76,33.88,-1.04,37.28
56365,human,high,fair,5,0.0,15.6,15.0,32.2,-19.4,16.6,-34.4
56365,human,high,unfair,25,0.0,7.8,2.04,14.72,0.04,6.92,-2.0
56365,human,low,fair,5,0.0,12.2,7.0,-13.6,7.2,-25.8,0.2
56365,human,low,unfair,25,0.32,1.04,-2.96,11.24,21.4,10.2,24.36
56419,human,high,fair,5,0.4,7.8,16.6,-9.0,41.8,-16.8,25.2
56419,human,high,unfair,25,0.16,-3.48,4.16,14.6,-0.52,18.08,-4.68
56419,human,low,fair,5,0.2,10.2,22.8,1.8,54.6,-8.4,31.8
56419,human,low,unfair,25,0.92,-10.36,16.48,25.92,27.8,36.28,11.32
58789,human,high,fair,5,0.4,6.2,13.8,5.0,53.2,-1.2,39.4
58789,human,high,unfair,25,0.0,-8.56,1.4,16.6,0.48,25.16,-0.92
58789,human,low,fair,5,0.2,15.4,20.0,3.2,57.6,-12.2,37.6
58789,human,low,unfair,25,0.08,-1.76,7.64,10.64,39.56,12.4,31.92
59544,human,high,fair,5,0.0,25.4,25.4,26.0,46.6,0.6,21.2
59544,human,high,unfair,25,0.04,10.2,9.24,8.0,37.32,-2.2,28.08
59544,human,low,fair,5,0.0,25.8,27.6,12.8,-6.8,-13.0,-34.4
59544,human,low,unfair,25,0.44,12.84,8.48,18.8,48.64,5.96,40.16
59879,human,high,fair,5,0.6,20.8,-16.6,26.2,-6.6,5.4,10.0
59879,human,high,unfair,25,0.8,15.84,-12.84,21.76,35.16,5.92,48.0
59879,human,low,fair,5,0.2,14.8,0.8,29.6,2.6,14.8,1.8
59879,human,low,unfair,25,0.12,13.8,-0.84,13.92,17.8,0.12,18.64
61973,human,high,fair,5,0.0,16.6,17.6,13.8,23.2,-2.8,5.6
61973,human,high,unfair,25,0.36,-0.84,-1.36,13.08,12.48,13.92,13.84
61973,human,low,fair,5,0.0,13.8,15.4,-7.2,16.4,-21.0,1.0
61973,human,low,unfair,25,0.68,-5.36,-7.36,3.84,22.68,9.2,30.04
66330,human,high,fair,5,0.0,16.6,19.6,2.2,0.6,-14.4,-19.0
66330,human,high,unfair,25,0.0,-8.56,3.64,20.92,25.64,29.48,22.0
66330,human,low,fair,5,0.0,11.2,12.6,42.6,35.0,31.4,22.4
66330,human,low,unfair,25,0.36,-8.6,3.0,14.72,45.44,23.32,42.44
67485,human,high,fair,5,0.0,10.2,9.0,28.6,-2.6,18.4,-11.6
67485,human,high,unfair,25,0.0,-12.72,3.04,22.76,41.2,35.48,38.16
67485,human,low,fair,5,0.0,13.2,3.4,45.2,28.2,32.0,24.8
67485,human,low,unfair,25,0.44,-6.52,3.08,11.08,17.12,17.6,14.04
68198,human,high,fair,5,0.0,8.6,-7.0,21.4,6.6,12.8,13.6
68198,human,high,unfair,25,0.0,-9.76,-7.56,29.72,-6.12,39.48,1.44
68198,human,low,fair,5,0.0,6.6,-5.8,-19.8,-2.0,-26.4,3.8
68198,human,low,unfair,25,0.24,-12.16,-6.0,4.56,23.8,16.72,29.8
68807,human,high,fair,5,0.0,20.2,18.8,4.2,-12.0,-16.0,-30.8
68807,human,high,unfair,25,0.16,-1.2,10.36,30.6,30.16,31.8,19.8
68807,human,low,fair,5,0.0,17.0,15.4,16.0,-15.2,-1.0,-30.6
68807,human,low,unfair,25,0.48,-5.36,9.52,23.48,16.84,28.84,7.32
69860,human,high,fair,5,0.0,11.2,11.6,38.6,1.8,27.4,-9.8
69860,human,high,unfair,25,0.36,7.4,12.12,8.84,37.08,1.44,24.96
69860,human,low,fair,5,0.0,15.2,10.8,1.0,11.2,-14.2,0.4
69860,human,low,unfair,25,0.76,9.28,5.96,22.68,39.64,13.4,33.68
75784,human,high,fair,5,0.0,10.6,13.4,12.8,48.4,2.2,35.0
75784,human,high,unfair,25,0.0,-9.24,6.48,13.12,18.52,22.36,12.04
75784,human,low,fair,5,0.0,15.2,15.4,38.2,63.6,23.0,48.2
75784,human,low,unfair,25,0.4,-11.2,3.52,18.96,9.16,30.16,5.64
77289,human,high,fair,5,0.0,1.2,27.6,16.2,45.2,15.0,17.6
77289,human,high,unfair,25,0.8,-15.24,-10.16,17.16,33.04,32.4,43.2
77289,human,low,fair,5,0.0,18.4,22.0,12.4,36.4,-6.0,14.4
77289,human,low,unfair,25,0.8,-11.68,-11.48,18.24,31.52,29.92,43.0
78567,human,high,fair,5,0.2,-1.0,-2.8,33.0,-41.6,34.0,-38.8
78567,human,high,unfair,25,0.96,-4.4,-9.08,14.08,22.0,18.48,31.08
78567,human,low,fair,5,0.0,0.0,-0.2,36.8,77.8,36.8,78.0
78567,human,low,unfair,25,0.92,-4.64,-8.2,19.08,46.08,23.72,54.28
79934,human,high,fair,5,0.0,0.0,0.2,-7.8,14.6,-7.8,14.4
79934,human,high,unfair,25,0.72,-13.88,13.32,8.84,26.0,22.72,12.68
79934,human,low,fair,5,0.0,0.0,0.0,10.6,6.8,10.6,6.8
79934,human,low,unfair,25,0.84,-17.44,15.56,13.08,13.88,30.52,-1.68
80459,human,high,fair,5,0.0,19.6,-25.6,8.6,48.4,-11.0,74.0
80459,human,high,unfair,25,0.0,-5.8,-26.56,17.76,19.28,23.56,45.84
80459,human,low,fair,5,0.0,27.6,-26.4,29.0,12.2,1.4,38.6
80459,human,low,unfair,25,0.4,-9.24,-27.56,14.44,21.76,23.68,49.32
80674,human,high,fair,5,0.2,1.8,-1.2,23.4,77.8,21.6,79.0
80674,human,high,unfair,25,0.68,-13.24,4.8,24.4,21.32,37.64,16.52
80674,human,low,fair,5,0.6,3.0,-4.2,16.0,-6.0,13.0,-1.8
80674,human,low,unfair,25,0.88,-15.36,8.64,19.52,21.6,34.88,12.96
82163,human,high,fair,5,0.0,-0.4,0.8,5.0,32.2,5.4,31.4
82163,human,high,unfair,25,0.08,-1.64,1.68,11.64,37.36,13.28,35.68
82163,human,low,fair,5,0.0,-0.2,0.4,5.4,28.0,5.6,27.6
82163,human,low,unfair,25,0.0,-2.08,2.24,17.44,15.6,19.52,13.36
83033,human,high,fair,5,0.2,8.8,11.2,13.0,35.0,4.2,23.8
83033,human,high,unfair,25,0.12,-9.84,13.64,23.2,36.0,33.04,22.36
83033,human,low,fair,5,0.0,-0.2,3.6,17.0,40.8,17.2,37.2
83033,human,low,unfair,25,0.44,-10.56,11.76,26.56,23.32,37.12,11.56
87787,human,high,fair,5,0.0,8.8,8.4,18.0,57.4,9.2,49.0
87787,human,high,unfair,25,0.0,16.4,17.2,23.68,39.48,7.28,22.28
87787,human,low,fair,5,0.2,12.4,-5.8,34.6,56.8,22.2,62.6
87787,human,low,unfair,25,0.24,19.08,6.4,14.12,22.0,-4.96,15.6
88241,human,high,fair,5,0.0,27.6,27.6,-1.6,42.8,-29.2,15.2
88241,human,high,unfair,25,0.2,1.16,1.32,1.48,8.08,0.32,6.76
88241,human,low,fair,5,0.0,27.8,27.4,1.2,26.2,-26.6,-1.2
88241,human,low,unfair,25,0.76,-0.08,0.4,11.4,13.44,11.48,13.04
88616,human,high,fair,5,0.0,7.0,16.0,44.0,40.4,37.0,24.4
88616,human,high,unfair,25,0.64,1.88,-10.24,18.56,15.36,16.68,25.6
88616,human,low,fair,5,0.0,17.4,3.4,26.8,15.4,9.4,12.0
88616,human,low,unfair,25,0.72,-0.08,-9.36,8.88,12.2,8.96,21.56
89557,human,high,fair,5,0.0,12.4,14.8,30.4,0.0,18.0,-14.8
89557,human,high,unfair,25,0.32,-11.64,8.68,25.28,54.28,36.92,45.6
89557,human,low,fair,5,0.0,14.4,17.2,17.2,17.4,2.8,0.2
89557,human,low,unfair,25,0.76,-13.16,10.88,11.16,30.56,24.32,19.68
91703,human,high,fair,5,0.0,16.0,19.4,20.2,44.2,4.2,24.8
91703,human,high,unfair,25,0.04,-2.44,-1.8,24.12,42.52,26.56,44.32
91703,human,low,fair,5,0.0,19.4,20.2,11.0,-27.0,-8.4,-47.2
91703,human,low,unfair,25,0.44,-3.2,-2.48,22.12,29.2,25.32,31.68
92615,human,high,fair,5,0.0,-3.0,4.2,26.4,73.0,29.4,68.8
92615,human,high,unfair,25,0.36,0.24,-1.48,11.32,30.64,11.08,32.12
92615,human,low,fair,5,0.0,14.8,7.4,11.8,31.2,-3.0,23.8
92615,human,low,unfair,25,0.72,7.92,4.6,9.8,34.72,1.88,30.12
92913,human,high,fair,5,0.0,0.4,0.2,7.0,68.8,6.6,68.6
92913,human,high,unfair,25,0.0,-0.56,-0.2,20.96,26.56,21.52,26.76
92913,human,low,fair,5,0.0,0.0,0.0,36.0,27.0,36.0,27.0
92913,human,low,unfair,25,0.0,0.28,-1.32,33.36,28.6,33.08,29.92
93665,human,high,fair,5,0.0,4.4,4.8,17.8,37.2,13.4,32.4
93665,human,high,unfair,25,0.0,-3.52,-3.4,7.32,24.56,10.84,27.96
93665,human,low,fair,5,0.0,6.2,7.0,5.2,46.6,-1.0,39.6
93665,human,low,unfair,25,0.56,-4.2,-4.76,20.76,12.52,24.96,17.28
94640,human,high,fair,5,0.0,8.8,6.8,23.6,70.0,14.8,63.2
94640,human,high,unfair,25,0.32,-3.84,3.28,11.04,20.64,14.88,17.36
94640,human,low,fair,5,0.0,6.6,0.2,15.6,23.2,9.0,23.0
94640,human,low,unfair,25,0.8,-5.44,5.72,23.24,27.04,28.68,21.32
94895,human,high,fair,5,0.0,4.4,5.6,-1.4,64.2,-5.8,58.6
94895,human,high,unfair,25,0.4,-5.16,4.12,-3.64,26.6,1.52,22.48
94895,human,low,fair,5,0.0,4.8,-9.6,7.0,44.8,2.2,54.4
94895,human,low,unfair,25,0.72,-3.28,-8.68,19.48,44.84,22.76,53.52
95986,human,high,fair,5,0.0,18.2,18.2,9.6,-19.8,-8.6,-38.0
95986,human,high,unfair,25,0.16,1.32,2.8,14.76,14.2,13.44,11.4
95986,human,low,fair,5,0.0,14.4,15.0,12.4,15.4,-2.0,0.4
